Company,Search Term,Title,Job ID,Location,Posted On,Job URL
Walmart,data scientist,"Senior, Data Scientist",R-2367400,"Grapevine, TX",Posted 20 Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/Grapevine-TX/Senior--Data-Scientist_R-2367400
Walmart,data analyst,"(USA) Senior, Data Engineer",R-2399845,2 Locations,Posted 30+ Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/USA-VIZIO-SERVICES-DALLAS-TX-DALLAS-Home-Office/XMLNAME--USA--Senior--Data-Engineer_R-2399845-1
Walmart,data analyst,(USA) Senior Analyst-Quality Control,R-2438272,2 Locations,Posted 7 Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/US-TX-TERRELL-06295-GROCERY/XMLNAME--USA--Senior-Analyst-Quality-Control_R-2438272
Walmart,data analyst,"(USA) Analyst II, Quality Engineer - Supply Chain",R-2443030,US TX PALESTINE 06005 FASHION,Posted 8 Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/US-TX-PALESTINE-06005-FASHION/XMLNAME--USA--Analyst-II--Quality-Engineer---Supply-Chain_R-2443030-1
Walmart,data analyst,"Manager, Finance",R-2407760,5 Locations,Posted 17 Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/USA-Change-Building-AR-Bentonville-Home-Office/Manager--Finance_R-2407760
Walmart,data analyst,"Resolution Specialist, DC Seller Disputes",R-2403200,(USA) TX LANCASTER 03006 ECOMM WHSE LOGISTICS,Posted 30+ Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/USA-TX-LANCASTER-03006-ECOMM-WHSE-LOGISTICS/Resolution-Specialist--DC-Seller-Disputes_R-2403200-2
Walmart,data analyst,"(USA) Manager II, Process Engineer - Supply Chain",R-2414469,"Sanger, TX",Posted 30+ Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/Sanger-TX/XMLNAME--USA--Manager-II--Process-Engineer---Supply-Chain_R-2414469
Walmart,data analyst,"(USA) Manager II, Process Engineer - Supply Chain",R-2445924,US TX NEW CANEY 07010 GROCERY,Posted 6 Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/US-TX-NEW-CANEY-07010-GROCERY/XMLNAME--USA--Manager-II--Process-Engineer---Supply-Chain_R-2445924-1
Walmart,data analyst,"(USA) Manager II, Quality Engineer - Supply Chain",R-2349193,(USA) TX PALESTINE 06036 REGIONAL,Posted 6 Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/USA-TX-PALESTINE-06036-REGIONAL/XMLNAME--USA--Manager-II--Quality-Engineer---Supply-Chain_R-2349193
Walmart,data analyst,Process Engineer - Supply Chain,R-2426140,(USA) TX PALESTINE 06036 REGIONAL,Posted 22 Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/USA-TX-PALESTINE-06036-REGIONAL/Process-Engineer---Supply-Chain_R-2426140
Walmart,data analyst,"(USA) Manager, Finance",R-2413975,11 Locations,Posted 29 Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/US-AZ-BUCKEYE-06031-REGIONAL/XMLNAME--USA--Manager--Finance_R-2413975
Walmart,data analyst,"Maintenance Manager (Fashion, Import, Jewelry, Regional, Returns, Sam's, Wm.Com) Operations",R-2436903,(USA) TX DALLAS 10918 REGIONAL REAL ESTATE WAREHOUSE,Posted 8 Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/USA-TX-DALLAS-10918-REGIONAL-REAL-ESTATE-WAREHOUSE/Maintenance-Manager--Fashion--Import--Jewelry--Regional--Returns--Sam-s--WmCom--Operations_R-2436903
Walmart,data analyst,"(USA) Quality Assurance/systems Manager (import, Regional, Returns, Wm.com)",R-2430031,US TX NEW BRAUNFELS 06016 REGIONAL,Posted 16 Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/US-TX-NEW-BRAUNFELS-06016-REGIONAL/XMLNAME--USA--Quality-Assurance-systems-Manager--import--Regional--Returns--Wmcom-_R-2430031-1
Walmart,data analyst,"(USA) Production Processing Operator - Dairy Plant Milk Truck Receiver (Friday-Sunday, 6:00am-6:30pm) - $24.50/hr.",R-2418170,"Robinson, TX",Posted 30+ Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/Robinson-TX/XMLNAME--USA--Production-Processing-Operator---Dairy-Plant-Milk-Truck-Receiver--Friday-Sunday--6-00am-6-30pm-----2450-hr_R-2418170
Walmart,data analyst,"(USA) Production Processing Operator - Dairy Milk Truck Receiver (Friday-Sunday, 6:00pm-6:30am) - $25/hr.",R-2421053,"Robinson, TX",Posted 29 Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/Robinson-TX/XMLNAME--USA--Production-Processing-Operator---Dairy-Milk-Truck-Receiver--Friday-Sunday--6-00pm-6-30am-----25-hr_R-2421053
Walmart,data analyst,"(USA) Production Processing Operator - Dairy Milk Truck Receiver (Monday-Friday, 10:00pm-6:30am) - $24/hr.",R-2421062,"Robinson, TX",Posted 29 Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/Robinson-TX/XMLNAME--USA--Production-Processing-Operator---Dairy-Milk-Truck-Receiver--Monday-Friday--10-00pm-6-30am-----24-hr_R-2421062
Walmart,data analyst,"(USA) Production Processing Operator - Dairy Milk Truck Receiver (Monday-Friday, 2:00pm-10:30pm) - $23.50/hr.",R-2421292,"Robinson, TX",Posted 29 Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/Robinson-TX/XMLNAME--USA--Production-Processing-Operator---Dairy-Milk-Truck-Receiver--Monday-Friday--2-00pm-10-30pm-----2350-hr_R-2421292
Walmart,data analyst,(USA) Maintenance Operations Manager (ecommerce) - Logistics,R-2398356,"Fort Worth, TX",Posted 30+ Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/Fort-Worth-TX/XMLNAME--USA--Maintenance-Operations-Manager--ecommerce----Logistics_R-2398356
Walmart,data analyst,"(USA) Operations Manager - Floor (fashion, Import, Jewelry, Regional, Returns, Sam's, Wm.com, Hmsc)",R-2428101,(USA) TX PALESTINE 06036 REGIONAL,Posted 22 Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/USA-TX-PALESTINE-06036-REGIONAL/XMLNAME--USA--Operations-Manager---Floor--fashion--Import--Jewelry--Regional--Returns--Sam-s--Wmcom--Hmsc-_R-2428101-1
